Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
RGR	349.5086979826848	1.2011595327567663	0.1877666077804747	8.328684499678993e-4	0.018853945270467087	TRUE
BAG3	1506.0912337919976	1.186185251794207	0.372099422081192	5.958561610750486e-5	0.0066864408035931435	TRUE
GLI2	155.94250351051437	1.159368703704791	0.3457798747450872	3.277362125647233e-5	0.00539214155245688	TRUE
NPC1L1	11.479185412293551	1.1299903592177725	0.32923235560793773	2.5097828479523368e-5	0.00505098481074941	TRUE
IL21	4.197806503320342	1.120430854374735	0.47732906281172954	5.691105528321295e-4	0.016333158180984637	TRUE
KDF1	8.47276841862246	1.1204032354516036	0.24271587565372368	0.019588035542696013	0.08031691019942633	FALSE
SPEM3	3.9008258442095882	1.1105803195151072	0.4685668487743032	6.719870143927633e-4	0.017207076883086286	TRUE
FCGBP	296.81161941949864	1.1078541153895571	0.23876955098593713	0.7800885202970027	0.8627366735899795	FALSE
LINC00397	2.749695818875076	1.1037846717589908	0.38105909611795746	1.5425699952632805e-4	0.009659276446444959	TRUE
C10orf105	228.05481815717832	1.0988272808956752	0.3191143928695784	2.5825766220303257e-5	0.00505098481074941	TRUE
MUC1	92.5499257686465	1.0981522935026153	0.2750032593523654	2.8853189404505366e-6	0.0017851546266160455	TRUE
SLC14A1	857.4976784771454	1.07331978470556	0.3437062721277411	7.717000021859303e-5	0.007536811695414598	TRUE
DAPK1-IT1	9.582249396090635	1.0726737084881475	0.2732876573437803	5.120985345779102e-6	0.002211879179916513	TRUE
HIF3A	1363.8032685210046	1.0682341233222898	0.25131936451280584	1.0259414102354214e-6	0.0012095181085132922	TRUE
TNFRSF10D	53.4019090688481	1.056378449184602	0.26433891446841284	3.047544357346423e-6	0.0018359048796940608	TRUE
LINC01676	6.420538135870037	1.0562779624423875	0.28957231024446894	1.2379729231882187e-5	0.003587300779446165	TRUE
C9orf131	109.38869003990898	1.0486109275516153	0.32688992218583113	5.697960443588143e-5	0.006607100196465142	TRUE
TEKT4	109.21008519408673	1.0474818879734544	0.32130106682099097	4.7143739212876775e-5	0.006252658917071612	TRUE
PAPLN	809.5072085434109	1.0420447258076948	0.2533277753283271	1.995640518777247e-6	0.0015999472420397897	TRUE
IL1RL1	87.17357913007764	1.0357229082842754	0.4963650847033571	0.0011354152981954578	0.021046094741935563	TRUE
FAM225B	69.66195212548847	1.018015969999181	0.21484722440041754	1.1039255476700188e-7	5.054212727452414e-4	TRUE
LINC02864	55.1859656851674	1.016148615202491	0.27448015426443734	9.51245592023679e-6	0.003198946099876239	TRUE
